folder,taxo59_match,confidence,consistent,food_seen,caveat,note
burrito,none,high,True,부리토(멕시코식 또띠아 랩),멕시코 음식으로 taxo59에 없음. 시각적으로 김밥/김밥롤·랩과 형태가 유사하지만 cuisine과 의미가 전혀 다름(밀가루 또띠아에 고기·채소를 만 것). seaweed-rice-roll·sandwich 등에 억지 매핑 금지.,10장 모두 또띠아로 만 멕시코식 부리토/랩으로 일관. 한식 클래스 매칭 불가하여 none.
cake,cake,high,True,케이크(초코·생크림·딸기 등 디저트 케이크 조각/홀케이크),,"초콜릿케이크·딸기케이크·생크림 데코 케이크 등 디저트 케이크로 일관, taxo59 cake(케이크)와 시각·의미 모두 일치."
cannoli,none,high,True,"까늘레(카늘레, 프랑스 구운 디저트)",폴더명은 cannoli(이탈리아 튀김 페이스트리)지만 실제 내용물은 까늘레(canele)라는 프랑스 구운 디저트. 어느 쪽이든 서양 디저트로 taxo59에 해당 클래스 없음. cake와도 형태·식감이 다름.,전부 갈색 캐러멜 크러스트의 까늘레 디저트로 일관됨. taxo59 한식/아시아 클래스에 매핑 불가.
caprese,salad,low,True,카프레제 샐러드(토마토+모차렐라+바질/새싹+발사믹),"이탈리아식 카프레제(생토마토·생모차렐라·바질·발사믹글레이즈)로 cuisine이 다름. taxo59 salad가 일반 샐러드 클래스라 시각적으로는 접시 위 채소+토마토로 겹치나, 잎채소 위주의 믹스샐러드와 구성이 다른 특정 서양 전채. 보강용으로는 신중히, none도 검토.",5장 모두 토마토·모차렐라·발사믹의 카프레제로 일관. salad에 약하게 매핑 가능하나 cuisine 차이로 low.
chicken,fried-chicken,high,True,치킨(후라이드·양념·간장/마늘 등 다양한 소스 치킨),,10장 모두 한국식 치킨(플레인 후라이드+양념/간장/마늘 소스)으로 fried-chicken 클래스 정의(후라이드+양념)에 정확히 부합.
chili_crab,none,high,True,칠리크랩(통게에 걸쭉한 칠리·토마토 그레이비를 끼얹은 동남아 요리),"동남아(싱가포르) 칠리크랩으로 cuisine 자체가 다름. 게 전용 클래스 없음. seafood-spicy-tang은 한식 국물 매운탕(걸쭉한 볶음 그레이비 아님), seafood-jjim도 한식 찜·찜요리로 시각/조리법 상이.",10장 모두 통게+걸쭉한 칠리 그레이비로 일관되나 게 요리/타cuisine이라 매핑 가능한 한식 클래스 없음 → none.
chocolate,none,high,True,초콜릿(초콜릿 바·바크·트러플·화이트초콜릿·어소트 초콜릿 박스),"디저트 과자류로, taxo59에는 대응 클래스가 없음. cake(케이크)나 bread(빵)와도 시각·의미가 명확히 다름.",전 장이 초콜릿 제품으로 일관되며 우리 59클래스에 해당 음식 없음 → none.
churros,none,high,True,"츄러스(시나몬슈가 묻힌 막대 반죽, 초코드리즐·카라멜딥·딸기코팅 변형 포함)","튀긴 디저트 반죽으로, fried-food-platter(튀김모둠)는 짭짤한 튀김 모둠 의미라 부적합. taxo59에 츄러스 대응 없음.",전 장이 츄러스로 일관되나 우리 59클래스에 해당 디저트 없음 → none.
coffee_hot,none,high,True,따뜻한 커피(아메리카노/블랙커피),음료(커피)는 taxo59 59클래스에 음료 카테고리 자체가 없음. 학습 보강 부적합.,5장 모두 머그/잔에 담긴 따뜻한 블랙커피로 일관. 매핑 가능한 음식 클래스 없음.
coffee_ice,none,high,True,아이스 커피(콜드브루/아이스 아메리카노),음료(커피)는 taxo59에 음료 카테고리가 없음. 얼음 든 차가운 커피로 식품 클래스 매칭 불가.,5장 모두 유리잔에 얼음과 함께 담긴 아이스 커피로 일관. 매핑 가능한 음식 클래스 없음.
cookie,none,high,True,쿠키 (초코칩·초코청크 등 구운 디저트 쿠키),양식 디저트 쿠키로 taxo59에 해당 클래스 없음. bread(빵)·cake(케이크)와는 시각·의미가 명확히 다름.,5장 모두 구운 쿠키로 일관되나 매핑 가능한 taxo59 클래스가 없어 none.
crepe,none,high,True,크레페 (생크림·딸기·바나나·초코 넣은 길거리 크레페),양식/길거리 단 디저트 크레페. savory-pancake(전·부침개)는 한식 부침개로 cuisine·재료가 전혀 다르므로 매핑 불가.,5장 모두 달콤한 크레페로 일관되나 taxo59에 대응 클래스 없어 none.
croissant,bread,low,True,"크루아상(플레인, 아몬드, 햄·치즈 충전, 딸기크림 충전 등 다양한 변형)","크루아상은 결이 살아있는 프랑스식 페이스트리(비에누아즈리)로, taxo59의 bread(빵)가 통상 겨냥하는 식빵·일반 빵과 형태·식감·시각이 뚜렷이 다름. 아몬드/딸기크림/햄치즈 충전 변형이 섞여 디저트성도 큼. 한식 클래스 아님.",10장 모두 크루아상으로 일관. taxo59에 크루아상 전용 클래스가 없어 가장 근접한 bread로 매핑하나 형태 차이 커 학습 보강용으로는 주의(low).
croque_monsieur,sandwich,low,True,크로크무슈/크로크마담(햄·치즈를 넣고 베샤멜·치즈를 올려 구운 프랑스식 핫 샌드위치),"크로크무슈는 베샤멜·치즈를 올려 오븐에 구운 뜨거운 치즈그라탱형 샌드위치로, taxo59 sandwich(샌드위치)가 통상 겨냥하는 차가운 델리/식빵 샌드위치와 시각·조리법이 크게 다름. 일부는 페이스트리 베이스(크루아상형)로 보여 더 이질적. 한식 아님.",10장 모두 크로크무슈/마담 계열로 일관. 근접 클래스는 sandwich지만 구운 치즈토핑 형태가 달라 보강용으로는 신중(low) 또는 none 권장.
curry,curry,high,True,카레(커리) - 새우카레/일본식 카레라이스/야채카레/두부카레 등 밥과 함께,0185는 카레볶음밥(노란 볶음밥)에 가까워 약간 결이 다르나 카레 계열이라 무방,"전부 카레 소스 요리로 일관, curry 클래스에 시각·의미 모두 명확히 일치"
dacquoise,none,high,True,다쿠아즈 - 아몬드 머랭 샌드 쿠키/페이스트리 (버터크림·가나슈 필링),디저트 페이스트리로 cake/bread/sandwich와 시각·의미 모두 다름. taxo59에 다쿠아즈/마카롱류 클래스 없음,전부 다쿠아즈로 일관되나 매핑 가능한 taxo59 클래스가 없어 none
dim_sum,dim-sum,high,True,"딤섬·찐만두(샤오롱바오, 하가우/새우만두, 찐교자, 찐빵류)를 대나무 찜기에 담은 모습",,"10장 모두 대나무 찜기에 담긴 중식 딤섬류로 taxo59 dim-sum(딤섬·찐만두)와 시각·의미가 정확히 일치, 학습 보강용으로 적합."
donut,none,high,True,"도넛·크림도넛(링도넛, 충전형 크림도넛, 초코/글레이즈 도넛 등 튀긴 단과자)",도넛은 taxo59에 없는 음식. bread(빵)에 억지로 끼우면 빵 클래스에 튀긴 단과자가 섞여 오염되므로 부적합.,10장 모두 일관되게 도넛이지만 taxo59에 대응 클래스가 없어 none.
egg_benedict,none,high,True,"에그 베네딕트(수란+홀랜다이즈 소스+잉글리시 머핀/빵, 베이컨/햄·시금치 곁들임)",양식 브런치 요리(수란+홀랜다이즈 소스). taxo59에 대응 클래스 없음. bread로 보기엔 토핑·소스가 본질이라 부적합.,10장 모두 잉글리시 머핀 위 수란+노란 홀랜다이즈 소스의 에그 베네딕트로 일관.
egg_tart,none,high,True,"에그타르트(포르투갈식 에그타르트 포함, 페이스트리 쉘+커스터드 필링, 윗면 캐러멜라이즈)",양식/홍콩·포르투갈식 디저트 페이스트리. taxo59에 타르트/디저트 클래스 없음. bread·cake와 시각·의미가 명확히 달라 매핑 부적합.,10장 모두 페이스트리 쉘에 노란 커스터드 필링의 에그타르트로 일관(일부 KFC 포장 배경).
escargot,none,high,True,"에스카르고(달팽이 요리) — 껍데기에 허브·마늘버터 채운 프랑스식, 일부 베트남식 소스 달팽이",달팽이(연체동물) 요리로 taxo59에 대응 클래스 없음. shrimp-dish/squid-dish 등 해산물 클래스와 식재료·형태 모두 다름.,"10장 전부 껍데기 달팽이 요리로 일관, 우리 59클래스에 동등 음식 없음 → none"
fish_and_chips,none,medium,True,피시앤칩스 — 튀김옷 입혀 튀긴 생선살 + 감자튀김(서양식),"양식 튀긴 생선+감자튀김. grilled-fish는 구이라 부적합, fried-food-platter(튀김모둠)는 한식 튀김 모둠과 구성·cuisine이 달라 보강용으로 부적합. 전용 fried-fish 클래스 없음.",10장 전부 튀긴 생선+감자튀김으로 일관하나 한식 59클래스에 맞는 대상 없음 → none(보수적)
fondue,none,high,True,치즈 퐁뒤 (녹인 치즈에 빵·채소를 찍어먹는 스위스/양식),양식 치즈 퐁뒤. taxo59에 퐁뒤·치즈요리 클래스 없음. western-cream-soup(수프)·hot-pot(한식 전골)과 시각·의미 모두 다름(걸쭉한 녹인 치즈 디핑이지 국물요리 아님). 한식/일식 클래스에 억지 매핑 불가.,10장 모두 퐁뒤 냄비에 녹인 치즈를 포크로 찍는 일관된 치즈 퐁뒤 — 매핑할 taxo59 클래스 없어 none.
french_fries,none,high,True,감자튀김 (플레인/치즈소스/칠리·파마산 토핑 등),감자튀김(프렌치프라이). taxo59에 감자튀김·포테이토 클래스 없음. fried-food-platter(튀김모둠)는 튀김옷 입힌 모둠튀김(텐푸라류)이라 감자스틱과 형태·종류 다름 → 억지 매핑 부적합.,10장 모두 막대형 감자튀김으로 일관 — 해당 taxo59 클래스 없어 none.
french_toast,none,high,True,"프렌치토스트 (달걀물 입혀 구운 빵, 슈가파우더·과일·크림 토핑)",양식 브런치/디저트 메뉴로 taxo59에 해당 클래스 없음. 시각상 'bread(빵)'와 비슷해 보이나 의미상 plain bread가 아니라 달걀물 입혀 구운 별도 음식이라 부적합.,8장 모두 프렌치토스트로 일관되나 우리 59클래스에 매칭되는 음식이 없어 none.
galbi,none,low,False,갈비 (마리네이드 갈비구이·갈비찜·삶은갈비 + 양식 BBQ 폭립 혼재),"폴더 내용이 여러 음식으로 갈림: 양념갈비 불판/숯불구이(grilled-beef성), 국물 갈비찜(braised성), 양식 BBQ 폭립(barbecue-ribs, 옥수수 곁들임). cuisine·조리법이 섞여 단일 클래스로 묶을 수 없음.","갈비구이·갈비찜·양식 폭립이 혼재해 5장이 한 음식으로 일관되지 않음 → 단일 매핑 불가, none."
gelato,none,high,True,"젤라토/아이스크림 (컵·콘에 담긴 아이스크림, 일부 복숭아/블루베리 소르베, 초코 아이스크림)",taxo59에 아이스크림/젤라토/빙과 디저트 클래스가 없음. cake(케이크)·bread(빵)와는 형태·의미가 명확히 다른 냉동 디저트라 매핑 부적합.,"10장 모두 컵/콘에 담긴 젤라토·아이스크림으로 일관, 해당 클래스 부재로 none."
gimbap,seaweed-rice-roll,high,True,"김밥 (김으로 만 밥에 당근·계란·단무지·시금치 등을 넣어 썬 한식 김밥, 누드김밥/충무김밥류 포함)",,10장 모두 김에 만 밥+속재료를 썬 전형적 한식 김밥으로 seaweed-rice-roll(김밥)과 시각·의미 모두 일치.
gratin,none,high,True,그라탱(치즈 오븐구이) — 해산물그라탱·맥앤치즈·감자그라탱·치즈베이크파스타,양식 치즈 오븐구이 그라탱/도리아류로 taxo59에 해당 클래스 없음. 일부는 치즈 밑에 파스타가 있으나 시각적 정체성이 라메킨에 담긴 치즈베이크 캐서롤이라 pasta(접시 파스타)와 다름. 한식 클래스에 억지 매핑 부적합.,10장 모두 치즈를 얹어 오븐에 구운 그라탱 계열로 일관되나 taxo59에 대응 클래스가 없어 none.
hot_dog,none,high,False,콘도그/핫도그 꼬치(튀긴 소시지 꼬치)와 빵에 끼운 핫도그가 섞임,"두 가지 다른 음식(스틱형 콘도그·핫도그 vs 빵형 핫도그)이 혼재. taxo59에 hot dog/corn dog 클래스 없음. 빵형은 sandwich와 시각·의미가 달라 매핑 부적합, 스틱형은 튀김 소시지 꼬치라 fried-food-platter와도 다름.",5장 이상이 스틱형 콘도그와 번형 핫도그로 갈려 일관성 없음. 대응 클래스도 없어 none.
hot_pot,none,high,False,"중국식 마라훠궈(사천식 매운 핫팟, 음양냄비)",중식 마라훠궈로 cuisine이 다름. taxo59 hot-pot은 한식 전골(국물전골) 정의라 시각·의미 모두 불일치. 얇게 썬 생고기+마라 홍탕+훠궈 전용 냄비 형태로 한식 전골과 다름.,대부분 중식 음양 마라훠궈로 일관하나 3번 이미지는 카레면류 아웃라이어; 한식 hot-pot에 끼우면 안 됨 → none.
jajangmyeon,black-bean-noodles,high,True,"짜장면/간짜장(춘장 볶음소스+밀면, 양파·고기·해산물)",,"10장 모두 춘장 검은 소스를 면에 얹은 짜장면으로 일관, black-bean-noodles와 시각·의미 정확히 일치."
japchae,none,high,True,잡채 (당면 + 채소·소고기·버섯 볶음),잡채는 taxo59 59클래스에 없는 음식. black-bean-noodles(짜장면)·spicy-mixed-noodles(비빔국수) 등 면류와 시각·의미 모두 다름(당면 무침·볶음). 억지 매핑 금지.,10장 모두 당면에 채소·소고기·버섯을 볶은 전형적 잡채로 일관. 매핑 가능한 taxo59 클래스 없음 → none.
kaya_toast,none,medium,True,카야 토스트 (식빵 토스트에 카야잼+버터를 끼운 샌드위치형 토스트),"bread(빵)·sandwich(샌드위치)와 형태가 겹치나 cuisine·구성 상이. 동남아(싱가포르/말레이) 단맛 카야잼+버터 토스트로, 한식/양식 샌드위치도 일반 빵도 아님. 보강용으로 끼우면 bread/sandwich 클래스 의미 오염 위험 → none 권장.",10장 모두 식빵을 토스트해 녹색/노란 카야잼+버터를 끼운 카야 토스트로 일관. 정확히 맞는 taxo59 클래스 없어 none.
kebap,none,high,True,"케밥/도네르 랩(라바쉬에 싼 구운 고기, 샤와르마 스타일 랩)",터키·중동 음식(케밥/도네르 랩). 랩 형태가 김밥(seaweed-rice-roll)이나 샌드위치와 일부 비슷해 보일 수 있으나 재료·cuisine이 전혀 다름. 한식 클래스에 억지 매핑 부적합.,10장 모두 라바쉬에 구운 고기를 싼 케밥/도네르 랩으로 일관 — taxo59에 해당 클래스 없음.
kimchi_stew,jjigae-red,high,True,"김치찌개(빨간 국물에 김치+두부, 뚝배기/냄비)",,"10장 모두 빨간 김치찌개(김치+두부)로 일관 — jjigae-red(빨간찌개·김치/순두부)와 시각·의미 일치, 학습 보강에 적합."
korean_pancake,savory-pancake,high,True,"한국식 전·부침개(파전, 해물전, 부추전 등)",,"5장 모두 부침옷에 부추/실파/해물(새우·오징어)을 부친 한식 전으로, taxo59 savory-pancake(전·부침개)와 시각·의미 모두 정확히 일치하며 간장 양념장도 동반."
lasana,none,high,True,"라자냐(라사냐, 양식 오븐 베이크 파스타)","라자냐는 층층이 쌓아 오븐에 구운 이탈리안 베이크 캐서롤로, taxo59 pasta(스파게티·면류 파스타)와 시각·형태가 명확히 다름. 가지 라자냐·치즈·토마토소스·베샤멜 등 변형 포함.",5장 모두 라자냐(층상 파스타 베이크)로 일관되나 taxo59에 라자냐 클래스가 없고 pasta로 끼우면 형태 불일치라 none.
lobster,none,high,True,"랍스터(바닷가재) 요리 - 통랍스터, 집게발, 꼬리살(구이/치즈구이/삶음), 랍스터 파스타 1장 포함",taxo59에 갑각류 랍스터 클래스 없음. shrimp-dish(새우요리)와는 단백질·외형이 명확히 다르므로 억지 매핑 금지. 1장(0185)은 랍스터 파스타이지만 폴더 대표는 통랍스터.,"전부 랍스터 요리로 일관, 우리 59클래스에 대응 음식 없음 → none"
macaroon,none,high,True,마카롱(프렌치 마카롱) - 다양한 색·필링의 원형 머랭 쿠키,taxo59에 마카롱 클래스 없음. cake/bread와 시각·의미가 다른 별개 디저트라 매핑 부적합.,"전부 마카롱으로 일관, 대응 클래스 없음 → none"
madeleine,none,high,True,마들렌(조개껍데기 모양 프랑스식 구움과자),"taxo59의 cake(케이크)는 시각적으로 생크림·층층 케이크류를 의미하는데, 마들렌은 작은 조개모양 구움과자로 외형이 전혀 달라 cake 클래스 학습 보강에 부적합(클래스 오염 우려). 우리 클래스에 마들렌/구움과자에 맞는 항목 없음.",5장 모두 조개모양 마들렌으로 일관되나 taxo59에 시각·의미가 맞는 클래스가 없어 none.
mapa_tofu,none,high,True,마파두부(두부+간 고기 매콤한 중식 볶음/조림),마파두부는 중식 요리로 과제에서 명시적으로 none 예시로 지정됨. taxo59에 대응 클래스 없음(찌개/탕류와도 형태·cuisine 상이).,5장 모두 중식 마파두부로 일관되며 매핑 가능한 taxo59 클래스 없음.
milfeuille,none,low,False,"밀푀유(퍼프페이스트리에 크림·딸기·블루베리 낀 디저트), 그 외 연어 타르타르 탑, 층층이 쌓은 케이크 조각, 키위·딸기 테린, 체리 크럼블 바, 부침개류 등 잡다하게 혼재",폴더 내용이 한 음식으로 일관되지 않음(밀푀유 디저트 외에 타르타르·테린·크럼블바·전 등 다른 음식 다수 혼입). 밀푀유 자체도 양식 디저트로 taxo59 cake/bread와 시각·의미가 일치하지 않음. 라벨 노이즈가 커 학습 보강용 부적합.,밀푀유 디저트와 무관한 음식들이 섞여 라벨 일관성 없음 → none.
muffin,none,medium,True,머핀·컵케이크(초코칩·블루베리·바나나·아몬드·민트크림 등 다양한 종류의 베이킹 컵케이크),"5장 모두 머핀/컵케이크로 일관되나, taxo59에는 muffin 전용 클래스가 없음. cake(조각/가토케이크)나 bread(식빵·바게트류)와는 형태가 명확히 달라 억지로 끼우면 두 클래스의 시각 분포를 오염시킴. 한식 클래스 아님.",전부 머핀/컵케이크로 일관되지만 taxo59에 대응 클래스 없음 → 보수적으로 none.
naan,none,high,True,"인도 난(난·플랫브레드, 일부 치즈난/버터난)",인도식 화덕 플랫브레드로 cuisine이 다름. taxo59 bread(빵)는 일반적으로 발효·슬라이스 식빵류를 의미하므로 시각·의미가 명확히 일치하지 않음. 한식 클래스 없음.,10장 모두 인도 난 계열로 일관. 우리 59클래스에 대응 음식 없어 none.
nachos,none,high,True,멕시코 나초(토르티야칩+치즈/살사/과카몰리/할라피뇨/토핑),멕시코식 토르티야칩 요리로 cuisine·형태 모두 다름. fried-food-platter(튀김모둠)와도 다른 칩 요리라 부적합.,10장 모두 나초로 일관(치즈/살사/토핑 변형 존재). 대응 taxo59 클래스 없어 none.
nasi_goreng,fried-rice,medium,True,"나시고렝(인도네시아식 볶음밥, 일부 계란프라이·새우·크루푹 곁들임)",cuisine 차이: 인도네시아식 볶음밥으로 중식/한식 볶음밥과 양념색(붉은갈색·케찹마니스)·고명(계란프라이·크루푹)이 다름. fried-rice 일반화에는 쓸 수 있으나 한식/중식 볶음밥과 시각 편차 존재.,10장 모두 볶음밥류로 일관(나시고렝). 의미상 fried-rice로 매핑 가능하나 cuisine 편차로 medium.
omelet,none,high,True,"오믈렛(접거나 만 계란요리, 일부 속재료·케첩/마요 드리즐)",taxo59에 계란요리/오믈렛/오므라이스 클래스 없음. 밥이 보이지 않는 순수 오믈렛이라 rice-bowl/fried-rice 등 어디에도 부적합.,10장 모두 오믈렛(계란)으로 일관되나 매핑할 59클래스 자체가 없어 none.
onigiri,none,high,True,"오니기리(일본식 삼각 주먹밥, 김으로 감싼 밥)","오니기리는 압착한 삼각 주먹밥으로, 김밥(seaweed-rice-roll)처럼 말아서 소를 넣은 롤이 아님. 단면 나선·롤 속재료가 없어 시각·구조가 다르고 일식 cuisine. 한식 김밥 보강용으로 부적합.",10장 모두 김으로 감싼 삼각 주먹밥(오니기리)으로 일관. taxo59에 해당 클래스 없음 → none.
pad_thai,none,high,True,"팟타이(태국식 볶음 쌀국수, 새우·숙주·땅콩가루·라임)","팟타이는 태국식 볶음 쌀국수로 국물이 없어 쌀국수(rice-noodle-soup, 국물형)와 다름. 비빔국수·볶음밥과도 별개 음식이고 태국 cuisine. taxo59에 해당 클래스 없음.",10장 모두 새우·숙주·땅콩가루가 들어간 볶음 쌀국수(팟타이)로 일관. 매칭 가능한 클래스 없음 → none.
paea,none,high,True,"빠에야(파에야, 스페인식 사프란 해물 볶음밥/철판밥)","스페인 빠에야로, 파에야 팬에 담긴 사프란 노란밥+새우/홍합/조개 해산물. taxo59의 fried-rice(볶음밥, 한·중식 볶은밥)나 rice-bowl(덮밥)과는 cuisine·조리법·외형 모두 다름. 일부는 먹물 빠에야(검은밥), 게맛살밥 등 변형이나 모두 빠에야 계열.",전부 스페인 빠에야 계열로 일관 — taxo59에 매칭할 한식/아시아 클래스 없음.
pan_cake,none,high,True,"팬케이크/핫케이크(양식 단맛, 시럽·베리·생크림), 일부 크레페",양식 단맛 팬케이크(스택+시럽/버터/베리/생크림)와 크레페. taxo59의 savory-pancake(전·부침개)는 한식 짠맛 부침개라 의미·외형 완전 상이. 단맛 팬케이크 클래스 없음 → 억지 매칭 금지.,전부 양식 단맛 팬케이크/크레페로 일관 — 한식 전(부침개)과 다른 음식이라 none.
pasta,pasta,high,True,파스타(스파게티/펜네) — 라구·크림·토마토·새우크림·알리오올리오 등,,"10장 모두 서양식 파스타로 일관, taxo59 pasta와 시각·의미 모두 명확히 일치"
pie,none,high,False,"파이류(사과/체리 격자파이, 호박파이, 고기 팟파이)와 치즈케이크·타르트·미니 파이모형 혼재",taxo59에 pie 전용 클래스 없음. 가장 가까운 cake로 억지 매핑 가능하나 cuisine·음식 카테고리 불일치(파이≠케이크). 내용물도 과일파이/팟파이/치즈케이크/타르트로 제각각,"파이·치즈케이크·타르트·팟파이·장식용 미니모형까지 섞여 한 음식으로 일관되지 않고, 우리 59클래스에 대응 클래스 부재 → none"
pizza,pizza,high,True,"피자 (마르게리타, 페퍼로니, 각종 토핑 피자)",,"10장 모두 둥근 도우+토마토소스+치즈+토핑의 전형적 피자로 taxo59 pizza 클래스와 시각·의미 완전 일치, 학습 보강용으로 적합."
popcorn,none,high,True,팝콘 (플레인 및 카라멜/시즈닝 코팅 팝콘),"팝콘은 taxo59 59클래스에 대응 음식 없음(스낵류). fried-food-platter/tteokbokki 등과 시각·의미 전혀 다름, 억지 매핑 금지.",10장 모두 일관된 팝콘이나 taxo59에 해당 클래스가 없어 none.
pork_chop,none,high,False,"포크찹(서양식 뼈등심 돼지고기 구이/스테이크), 일부 튀김·탕수육식·멕시칸 그릴",서양식 뼈등심 포크찹(그릴/팬시어)이라 한식 돈가스(빵가루 튀김+소스)와 cuisine·시각이 전혀 다름. taxo59에 일반 돼지구이 클래스 없음(삼겹살=다른 부위). 폴더 내용도 그릴/튀김/탕수육식/멕시칸이 섞여 다소 비일관.,pork-cutlet-dry/sauced와 외형 불일치(빵가루 없음). 보강용 부적합 → none.
pound_cake,cake,medium,True,"파운드케이크(로프형 구움과자 슬라이스, 플레인·과일·배·녹차·흑임자·크림 등 다양한 맛)","파운드케이크는 케이크의 일종이라 의미상 cake에 포함되나, 데코레이션/레이어형 일반 케이크와 달리 밀도 높은 로프형 구움과자라 외형 차이 존재.",10장 모두 파운드케이크로 일관. cake 클래스 보강용으로 medium 매핑.
pudding,none,high,True,"푸딩류(카라멜 플란, 커스터드 푸딩, 초콜릿 무스, 치아씨드 푸딩, 망고 푸딩)",taxo59에 푸딩/디저트(무스·커스터드) 클래스 없음. cake(케이크)와는 시각·형태가 명확히 다름(틀에서 뺀 젤리상 또는 컵에 담긴 크림상).,"전부 양식 푸딩·무스 계열 디저트로 일관되며, 매핑 가능한 한식 클래스가 없어 none."
